Tag No.,Measurement Flag,Measured Value,Estimate,Sigma,Gross Error Flag,Unit
Natural Gas from GAIL
CO_HT1,1,0.0266,0.0269132961684,0.000266,0,xfrac
N2_HT1,1,0.0005,0.000701515116127,5e-06,0,xfrac
CO2_HT1,1,0.1695,0.170605240913,0.001695,0,xfrac
H2_HT1,1,0.7537,0.752422926182,0.007537,0,xfrac
H2O_HT1,0,0.2881,0.315879627468,0.0028,2,xfrac
CH4_HT1,1,0.0497,0.0493570216205,0.000497,0,xfrac
Hot-side outlet of Exchanger E-2
FU_HT2,0,418.0,425.954396724,4.2,2,KMOl/HR
TU_HT2,2,345.0,345.0,3.0,2,C
PU_HT2,2,25.7,25.7,0.25,2,kg/cm2
CO_HT2,0,0.0266,0.0184119342008,0.000266,2,xfrac
N2_HT2,0,0.0005,0.000479920782582,5e-06,2,xfrac
CO2_HT2,0,0.1695,0.116714520969,0.001695,2,xfrac
H2_HT2,0,0.7537,0.514747852561,0.007537,2,xfrac
H2O_HT2,0,0.2881,0.315879627468,0.0028,2,xfrac
CH4_HT2,0,0.0497,0.0337661440181,0.000497,2,xfrac
Steam to be mixed with Pre-Reformer feed
FIC3104,1,3306.1,3208.59160682,69.2893903515,0,KG/HR
TU_ST1,2,460.02,460.02,4.602,2,C
PU_ST1,2,31.58,31.58,0.3158,2,kg/cm2
Pre-Reformer feed before getting heated in the furnace
FU_NS1,0,254.36,247.591465083,2.3,2,KMol/HR
TI4169,2,385.36,385.36,3.8536,2,C
PU_NS1,2,31.6,31.6,0.31,2,kg/cm2
C4H10_NS1,0,0.0011,0.00114976115497,1.1e-05,2,xfrac
CH4_NS1,0,0.2481,0.249816187387,0.002481,2,xfrac
N2_NS1,0,0.00082,0.000825651915552,8.2e-06,2,xfrac
C5H12_NS1,0,0.000139,0.000140368608989,1.39e-06,2,xfrac
CO2_NS1,0,0.00032,0.000323599296096,3.2e-06,2,xfrac
C2H6_NS1,0,0.01348,0.0135741544326,0.0001348,2,xfrac
H2_NS1,0,0.01132,0.0116522594954,0.0001132,2,xfrac
C6H14_NS1,0,9.5e-06,9.60035400295e-05,9.5e-08,2,xfrac
H2O_NS1,0,0.7221,0.719956518728,0.007221,2,xfrac
C3H8_NS1,0,0.00245,0.00246549544149,2.45e-05,2,xfrac
E-7-3 ByPass Line
FU_NS2a,0,254.36,82.575908784,2.5436,2,KMol/HR
TU_NS2a,2,479.96,479.96,4.7996,2,C
PU_NS2a,2,30.14,30.14,0.3014,2,kg/cm2
C4H10_NS2a,0,0.0011,0.00114976115497,1.1e-05,2,xfrac
CH4_NS2a,0,0.2481,0.249816187387,0.002481,2,xfrac
N2_NS2a,0,0.00082,0.000825651915552,8.2e-06,2,xfrac
C5H12_NS2a,0,0.000139,0.000140368608989,1.39e-06,2,xfrac
CO2_NS2a,0,0.00032,0.000323599296096,3.2e-06,2,xfrac
C2H6_NS2a,0,0.01348,0.0135741544326,0.0001348,2,xfrac
H2_NS2a,0,0.01132,0.0116522594954,0.0001132,2,xfrac
C6H14_NS2a,0,9.5e-06,9.60035400295e-05,9.5e-08,2,xfrac
H2O_NS2a,0,0.7221,0.719956518728,0.007221,2,xfrac
C3H8_NS2a,0,0.00245,0.00246549544149,2.45e-05,2,xfrac
E-7-3 Inlet
FU_NS2b,0,254.36,165.015556299,2.5436,2,KMol/HR
TU_NS2b,2,479.96,479.96,4.7996,2,C
