Tag No.,Measurement Flag,Measured Value,Estimate,Sigma,Gross Error Flag,Unit
Natural Gas from GAIL
N2_LT2,0,0.0009,0.000479920782582,9e-06,2,xfrac
CO2_LT2,0,0.1397,0.133824142837,0.0014,2,xfrac
H2_LT2,0,0.5532,0.531857474429,0.0055,2,xfrac
H2O_LT2,0,0.2653,0.298770005601,0.0026,2,xfrac
CH4_LT2,0,0.0384,0.0337661440181,0.00038,2,xfrac
Water from De-Aerator to Exchanger E3
FU_W9,0,421.9,481.124664415,1.09,2,KMOL/HR
TU_W9,2,105.0,105.0,0.95,2,C
PU_W9,2,25.0,25.0,0.25,2,kg/cm2
Water obtained from all the separators
FU_W6,0,109.3,127.262397495,1.09,2,KMOL/HR
TU_W6,2,95.0,95.0,0.95,2,C
PU_W6,2,25.0,25.0,0.25,2,kg/cm2
Gas from LT shift and free from water or steam
FI3112,1,3211.27,3212.60686958,38.8992589652,0,KG/HR
TI3142,2,28.0,28.0,0.28,2,C
PIC3135,2,25.0,25.0,0.25,2,kg/cm2
H2_LT3,0,0.7508,0.758463669091,0.0075,2,xfrac
CO_LT3,0,0.0034,0.00185718287007,3.4e-05,2,xfrac
CH4_LT3,0,0.0519,0.0481527377434,0.0005,2,xfrac
N2_LT3,0,0.0009,0.000684398537449,9e-06,2,xfrac
CO2_LT3,0,0.1896,0.190842011758,0.0019,2,xfrac
Fresh water make up
FI4119,1,5876.0,6369.52237632,402.876045123,0,KG/HR
TU_W7,2,30.0,30.0,0.95,2,C
PU_W7,2,25.0,25.0,0.25,2,kg/cm2
Steam from the vent of De-Aerator
FU_W8,0,45.0,8.73198746899e-05,1.09,2,KMOL/HR
TU_W8,2,95.0,95.0,0.95,2,C
PU_W8,2,25.0,25.0,0.25,2,kg/cm2
Hydrogen obtained from PSA unit
FI3114,1,312.31,377.829298706,14.8769789755,-1,KG/HR
TI3142,2,28.0,28.0,0.28,2,C
PIC3160,2,22.04,22.04,0.2204,2,kg/cm2
Hydrogen to Storage
FI3122,1,4253.86,4169.39660627,51.2167542659,0,NM3/HR
TU_H2,2,25.0,25.0,0.25,2,C
PIC3161,2,16.3,16.3,0.163,2,kg/cm2
Hydrogen to AO plant
FIC3216,1,4025.0,3926.25798951,40.25,0,NM3/HR
TU_H3,2,25.0,25.0,0.25,2,C
PU_H3,2,16.3,16.3,0.163,2,kg/cm2
Hydrogen to Filling
FI1901A,1,243.5,243.138616764,2.435,0,NM3/HR
TU_H4,2,25.0,25.0,0.25,2,C
PU_H4,2,16.3,16.3,0.163,2,kg/cm2
