Ammonia	1	298	1800	3.578	0.00302	0	-18600	-46110	-16450	NH3
Nitrogen	2	298	2000	3.28	0.000593	0	4000	0	0	N2
Hytrogen	3	298	3000	3.249	0.000422	0	8300	0	0	H2
Carbondioxide	4	298	2000	5.457	0.00105	0	-116000	-393509	-394359	CO2
Carbonmonoxide	5	298	2500	3.376	0.000557	0	-3100	-110525	-137169	CO
Oxygen	6	298	2000	3.639	0.000506	0	-22700	0	0	O2
