$---------Stream NG1(1)---------------------
PU_NS6	26	0.3	0	kg/cm2
H2_NS6	0.4699	0.0047	1	xfrac
CH4_NS6	0.0386	0.000386	1	xfrac
CO_NS6	0.0860	0.00086	1	xfrac
CO2_NS6	0.0563	0.000563	1	xfrac
H2O_NS6	0.3483	0.0035	1	xfrac
N2_NS6	0.0009	0.000009	1	xfrac
$-------Stream NS7(Inlet to HT shift reactor) (22)-
FU_NS7	417.36	4.17	1	KMOl/HR
TU_NS7	360	3.6	0	C
PI3129	26.6	0.26	1	kg/cm2
H2_NS7	0.4699	0.0047	1	xfrac
CH4_NS7	0.0386	0.000386	1	xfrac
CO_NS7	0.0860	0.00086	1	xfrac
CO2_NS7	0.0563	0.000563	1	xfrac
H2O_NS7	0.3483	0.0034	1	xfrac
N2_NS7	0.0009	0.000009	1	xfrac
$-------Stream W1(Feed water to RG Boiler) FTAG not found in data sheet----
FI4110	217.22	2.17	1	KMOl/HR
TU_W1	50	0.5	0	C
PU_W1	25	0.25	0	kg/cm2
$-------Stream ST3(Steam from RG Boiler)--------------------
FU_ST3	217.22	2.17	1	KMol/HR
TU_ST3	240	2.4	0	C
PU_ST3	30	0.3	0	kg/cm2
$-------Stream HT3(24a)-TTag not found in data sheet--------
FU_HT3	418	4.18	1	KMOl/HR
TI4172	188	1.8	1	C
PU_HT3	25.7	0.25	0	kg/cm2
H2_HT3	0.5302	0.0053	1	xfrac
CH4_HT3	0.0386	0.00386	1	xfrac
CO_HT3	0.0254	0.000254	1	xfrac
CO2_HT3	0.1168	0.001168	1	xfrac
H2O_HT3	0.2881	0.0028	1	xfrac
N2_HT3	0.0009	0.000009	1	xfrac
$-------Stream W2-------------------
FU_W2	167	1.67	1	KMOL/HR
TU_W2	40	0.3	0	C
PU_W2	25	0.25	0	kg/cm2
$-------Stream W3--------------------
FU_W3	167	1.67	1	KMOl/HR
TU_W3	50	0.5	0	C
PU_W3	25	0.25	0	kg/cm2
$-------Stream LT1(24b) outlet of LT shift reactor---
FU_LT1	418	4.18	1	KMOl/HR
TU_LT1	188	1.8	0	C
PU_LT1	25.7	0.25	0	kg/cm2
H2_LT1	0.5532	0.005532	1	xfrac
CH4_LT1	0.0384	0.000384	1	xfrac
CO_LT1	0.0025	0.000025	1	xfrac
CO2_LT1	0.1397	0.001397	1	xfrac
H2O_LT1	0.2653	0.0026	0	xfrac
N2_LT1	0.0009	0.000009	1	xfrac
$-------Stream ST4----------------
FU_ST4	76	0.76	1	KMOL/HR
TU_ST4	190	2	0	C
PU_ST4	30	0.3	0	kg/cm2
$-------Stream ST5---FTag not found in data sheet--
FI3106	183.4	1.83	1	KMOL/HR
TU_ST5	180	1.8	1	C
PIC3114	32.4	0.32	1	kg/cm2
$-------Stream ST6------------------
FU_ST6	229	2.29	1	KMOL/HR
TU_ST6	190	2	0	C
PU_ST6	30	0.3	0	kg/cm2
$-------Stream ST7-TTag,PTag not found in data sheet------------------
FU_ST7	229	2.29	1	KMOL/HR
TIC3123	447	4.4	1	C
PI3116	32.4	0.32	1	kg/cm2
$-------Stream AR1-------------
FU_AR1	413.76	4.13	1	KMOL/HR
TU_AR1	30	0.3	0	C
PU_AR1	1.03	0.01	0	kg/cm2
$-------Stream AR2-------------
FIC3109	413.76	4.13	1	KMOL/HR
TI3131	285.9	2.85	1	C
PU_AR2	1.03	0.01	0	kg/cm2
$-------Stream AN1------------------
FU_AN1	424.86	4.2	1	KMOL/HR
TU_AN1	60	0.6	0	C
PU_AN1	1.03	0.01	0	kg/cm2
H2_AN1	0.20	0.002	1	xfrac
CO_AN1	0.20	0.002	1	xfrac
