$---------Stream NG1---------------------
H2O_NS6	0.3483	0.0070	0	xfrac
N2_NS6	0.0009	0.0001	0	xfrac
$-------Stream NS7--------------------
FU_NS7	417.3	4	0	KMOl/HR
TU_NS7	360	3.6	0	C
PI3129	26	0.3	1	kg/cm2
H2_NS7	0.47	0.0005	0	xfrac
CH4_NS7	0.0386	0.0022	0	xfrac
CO_NS7	0.0086	0.0001	0	xfrac
CO2_NS7	0.0536	0.0001	0	xfrac
H2O_NS7	0.3483	0.0070	0	xfrac
N2_NS7	0.0009	0.0001	0	xfrac
$-------Stream W1--------------------
FI4110	3910	39	1	KG/HR
TU_W1	50	0.5	0	C
PU_W1	25	0.25	0	kg/cm2
$-------Stream ST3--------------------
FU_ST3	3910	39	0	KG/HR
TU_ST3	200	2	0	C
PU_ST3	30	0.3	0	kg/cm2
$-------Stream HT3-----------------------
FU_HT3	9363	93	0	NM3/HR
TI4172	188	1.8	1	C
PU_HT3	25.7	2.5	0	kg/cm2
H2_HT3	0.5302	0.005	0	xfrac
CH4_HT3	0.0386	0.003	0	xfrac
CO_HT3	0.0254	0.002	0	xfrac
CO2_HT3	0.1168	0.001	0	xfrac
H2O_HT3	0.2881	0.003	0	xfrac
N2_HT3	0.0009	0.001	0	xfrac
$-------Stream W2-------------------
FU_W2	3910	39	0	KG/HR
TU_W2	30	0.5	0	C
PU_W2	25	0.25	0	kg/cm2
$-------Stream W3--------------------
FU_W3	3060	30	1	KG/HR
TU_W3	50	0.5	0	C
PU_W3	25	0.25	0	kg/cm2
$-------Stream LT1-----------------------
FU_LT1	418	4.1	0	KMOl/HR
TU_LT1	188	1.8	0	C
PU_LT1	25.7	2.5	0	kg/cm2
H2_LT1	0.5320	0.005	0	xfrac
CH4_LT1	0.0384	0.003	0	xfrac
CO_LT1	0.0025	0.002	0	xfrac
CO2_LT1	0.1397	0.001	0	xfrac
H2O_LT1	0.2653	0.003	0	xfrac
N2_LT1	0.0009	0.001	0	xfrac
$-------Stream ST4----------------
FU_ST4	3910	39	0	KG/HR
TU_ST4	190	2	0	C
PU_ST4	30	0.3	0	kg/cm2
$-------Stream ST5-----------------
FI3106	3297	32	1	KG/HR
TU_ST5	180	1.8	0	C
PIC3114	32.4	3.2	1	kg/cm2
$-------Stream ST6------------------
FU_ST6	500	5	0	KG/HR
TU_ST6	190	2	0	C
PU_ST6	30	0.3	0	kg/cm2
$-------Stream ST7-------------------
FU_ST7	3297	32	0	KG/HR
TI3126	447	4.4	1	C
PU_ST7	32.4	3.2	0	kg/cm2
$-------Stream AR1-------------
FU_AR1	413	4	0	KMOl/HR
TU_AR1	30	0.3	0	C
PU_AR1	1.03	0.03	0	kg/cm2
$-------Stream AR2-------------
FU_AR2	413	4	0	KMOl/HR
TU_AR2	60	0.3	0	C
PU_AR2	1.03	0.03	0	kg/cm2
$-------Stream AN1------------------
FU_AN1	10	1	0	KMOl/HR
TU_AN1	60	0.6	0	C
PU_AN1	1.03	0.1	0	kg/cm2
CH4_AN1	0.7	0.08	0	xfrac
N2_AN1	0.1	0.02	0	xfrac
C2H6_AN1	0.005	0.0005	0	xfrac
C3H8_AN1	0.005	0.0005	0	xfrac
O2_AN1	0.2	0.002	0	xfrac
$-------Stream FG1--------------------------
FU_FG1	517	5.2	0	KMOl/HR
TI3121	175.1	1.8	1	C
PIC3137	0.9	0.09	1	kg/cm2
CO2_FG1	0.1691	0.0016	0	xfrac
H2O_FG1	0.2014	0.0020	0	xfrac
N2_FG1	0.608	0.06	0	xfrac
O2_FG1	0.0209	0.002	0	xfrac
$-------Stream W3--------------------
FI3110	3060	30	1	KG/HR
TU_W4	50	0.5	0	C
PU_W4	25	0.25	0	kg/cm2
$-------Stream ST8--------------
FU_ST8	500	5	0	KG/HR
TU_ST8	190	2	0	C
PU_ST8	30	0.3	0	kg/cm2
