$---------Stream NG1(1)---------------------
$-------Stream ST3--------------------
FU_ST3	149	1.49	0	KMOl/HR
TU_ST3	240	2.4	1	C
PU_ST3	30	0.3	1	kg/cm2
$-------Stream HT3-----------------------
FU_HT3	350	3.5	0	KMOl/HR
TI4172	188	1.8	1	C
PU_HT3	25.7	0.25	0	kg/cm2
H2_HT3	0.5302	0.005	0	xfrac
CH4_HT3	0.0386	0.003	0	xfrac
CO_HT3	0.0254	0.002	0	xfrac
CO2_HT3	0.1168	0.001	0	xfrac
H2O_HT3	0.2881	0.003	0	xfrac
N2_HT3	0.0009	0.001	0	xfrac
$-------Stream W2-------------------
FU_W2	97.87	0.97	0	KMOl/HR
TU_W2	30	0.3	0	C
PU_W2	25	0.25	0	kg/cm2
$-------Stream W3--------------------
FU_W3	97.87	0.97	0	KMOl/HR
TU_W3	50	0.5	0	C
PU_W3	25	0.25	0	kg/cm2
$-------Stream LT1-----------------------
FU_LT1	370	3.7	1	KMOl/HR
TU_LT1	188	1.8	1	C
PU_LT1	25.7	0.25	1	kg/cm2
H2_LT1	0.5320	0.005	1	xfrac
CH4_LT1	0.0384	0.003	1	xfrac
CO_LT1	0.0025	0.002	1	xfrac
CO2_LT1	0.1397	0.001	1	xfrac
H2O_LT1	0.2653	0.003	1	xfrac
N2_LT1	0.0009	0.001	1	xfrac
$-------Stream ST4----------------
FU_ST4	74.24	0.7424	1	KMOl/HR
TU_ST4	190	2	1	C
PU_ST4	30	0.3	1	kg/cm2
$-------Stream ST5-----------------
FI3106	6.5	0.06	1	KMOl/HR
TU_ST5	180	1.8	0	C
PIC3114	32.4	0.32	1	kg/cm2
$-------Stream ST6------------------
FU_ST6	91.69	0.91	0	KMOl/HR
TU_ST6	190	2	0	C
PU_ST6	30	0.3	0	kg/cm2
$-------Stream ST7-------------------
FU_ST7	91.69	0.92	0	KMOl/HR
TI3126	447	4.4	1	C
PU_ST7	32.4	0.32	0	kg/cm2
$-------Stream AR1-------------
FU_AR1	150	1.5	0	KMOl/HR
TU_AR1	30	0.3	0	C
PU_AR1	1.03	0.01	0	kg/cm2
$-------Stream AR2-------------
FU_AR2	150	1.5	0	KMOl/HR
TU_AR2	60	0.6	0	C
PU_AR2	1.03	0.01	0	kg/cm2
$-------Stream AN1------------------
FU_AN1	160	1.6	0	KMOl/HR
TU_AN1	60	0.6	0	C
PU_AN1	1.03	0.01	0	kg/cm2
CH4_AN1	0.07	0.0007	0	xfrac
N2_AN1	0.73	0.0073	0	xfrac
O2_AN1	0.19	0.0019	0	xfrac
$-------Stream FG1--------------------------
FU_FG1	160	5.2	1	KMOl/HR
TI3121	175.1	1.8	1	C
PIC3137	0.9	0.009	1	kg/cm2
CO2_FG1	0.1691	0.0016	1	xfrac
H2O_FG1	0.2014	0.0020	1	xfrac
N2_FG1	0.608	0.006	1	xfrac
O2_FG1	0.0209	0.0002	1	xfrac
$-------Stream W3--------------------
FI3110	74.24	0.74	1	KMOl/HR
TU_W4	50	0.5	0	C
PU_W4	25	0.25	0	kg/cm2
$-------Stream ST8--------------
FU_ST8	97.87	0.97	0	KMOl/HR
TU_ST8	190	2	0	C
PU_ST8	30	0.3	0	kg/cm2
